_id,id_local,id_distrito_local,desc_distrito_local,desc_barrio_local,clase_vial_edificio,num_edificio,Cod_Postal,coordenada_x_local,coordenada_y_local,desc_situacion_local,Nombre,id_periodo_terraza,desc_periodo_terraza,id_situacion_terraza,desc_situacion_terraza,Superficie_ES,DESC_CLASE,DESC_NOMBRE,num_terraza,cal_terraza,desc_ubicacion_terraza,hora_ini_LJ_es,hora_fin_LJ_es,hora_ini_LJ_ra,hora_fin_LJ_ra,hora_ini_VS_es,hora_fin_VS_es,hora_ini_VS_ra,hora_fin_VS_ra,mesas_aux_es,mesas_aux_ra,mesas_es,mesas_ra,sillas_es,sillas_ra,,__1,__2,__3,__4,__5,__6,__7,inspeccionar,estado,revision.prox_inspeccion,revision.puntuacion,revision.comentario
3856,40002699,4,SALAMANCA,CASTELLANA,CALLE,75,28006,"441997,59","4475852,51",Abierto,DSTILLS URBAN DISTILLERY,1,Anual,1,Abierta,"16,74",CALLE,VELAZQUEZ,75,,Acera,10:00:00,00:00:00,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,0:00:00,0,0,6,6,14,,,,,,,,,,false,2,10,80,separar las mesas
3858,150001868,15,CIUDAD LINEAL,VENTAS,CALLE,76,28017,"444476,57","4475635,48",Abierto,CERVECERIA LOS GALANES,1,Anual,1,Abierta,"4,32",AVENIDA,DAROCA,46,,Acera,8:00:00,00:00:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,0,0,3,3,6,,,,,,,,,,false,1,10,80,separar las mesas
3859,280043476,10,LATINA,LAS AGUILAS,CALLE,1,28044,"434841,62","4470608,57",Abierto,BODY & SOUL,1,Anual,1,Abierta,"20,46",AVENIDA,LAS AGUILAS,23,,Acera,8:00:00,00:00:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,2,0,12,12,40,,,,,,,,,,true,,10,80,separar las mesas
3860,280059165,13,PUENTE DE VALLECAS,PALOMERAS SURESTE,CALLE,17,28018,"445177,54","4470275,46",Abierto,BAR LAS TINAJAS,1,Anual,1,Abierta,"22,77",CALLE,ANGELILLO,17,,Acera,10:00:00,00:00:00,10:00:00,0:00:00,10:00:00,2:00:00,10:00:00,0:00:00,0,0,5,5,20,,,,,,,,,,false,2,10,80,separar las mesas
3861,285028059,14,MORATALAZ,MARROQUINA,CALLE,24,28030,"444929,56","4473165,47",Abierto,BAR LA PIEDRA,1,Anual,1,Abierta,"51,59",CALLE,MARROQUINA,24,,Acera,10:00:00,00:00:00,10:00:00,23:00:00,10:00:00,1:00:00,10:00:00,23:00:00,2,0,15,6,65,,,,,,,,,,true,,10,80,separar las mesas
3864,270146268,11,CARABANCHEL,COMILLAS,CALLE,32,28019,"439507,59","4471979,53",Abierto,BAR GALLO PELON,1,Anual,1,Abierta,"5,4",CALLE,ANTONIO LOPEZ,32,,Acera,10:00:00,00:00:00,10:00:00,0:00:00,10:00:00,2:00:00,10:00:00,0:00:00,0,0,4,4,8,,,,,,,,,,false,1,10,80,separar las mesas
3865,270065164,3,RETIRO,LOS JERONIMOS,PASEO,15,28014,"442146,58","4473178,51",Abierto,CAFE PIERO,1,Anual,1,Abierta,"48,6",PASEO,REINA CRISTINA,15,,Acera,10:00:00,00:00:00,10:00:00,0:00:00,10:00:00,2:00:00,10:00:00,0:00:00,2,0,15,15,67,,,,,,,,,,true,,10,80,separar las mesas
3866,150002698,15,CIUDAD LINEAL,VENTAS,AVENIDA,2,28017,"444091,58","4475824,49",Abierto,CAFE ATALAYA RESTAURANTE,1,Anual,1,Abierta,"23,4",AVENIDA,DAROCA,2,,Acera,10:00:00,00:00:00,10:00:00,0:00:00,10:00:00,2:00:00,10:00:00,0:00:00,0,0,10,10,30,,,,,,,,,,false,3,10,80,separar las mesas
3867,285010424,6,TETUAN,BERRUGUETE,CALLE,19,28039,"440623,61","4479202,54",Abierto,MARIN,1,Anual,1,Abierta,"27,85",CALLE,MARQUES DE VIANA,19,,Acera,10:00:00,00:00:00,10:00:00,0:00:00,10:00:00,2:00:00,10:00:00,0:00:00,0,0,8,8,28,,,,,,,,,,false,3,10,80,separar las mesas
3869,280053265,11,CARABANCHEL,OPA?EL,CALLE,10,28019,"439288,59","4471900,53",Abierto,CERVECERIA VI?AS,2,Estacional,1,Abierta,"5,88",CALLE,ANTONIO DE LEYVA,10,,Acera,10:00:00,00:00:00,,,10:00:00,2:00:00,,,0,,5,,10,,,,,,,,,,false,2,10,80,separar las mesas
3870,280047976,8,FUENCARRAL-EL PARDO,MIRASIERRA,CALLE,59,28034,0,0,Abierto,BARRA DE PINTXOS,1,Anual,1,Abierta,"80,76",CALLE,NURIA,59,,Otros,9:00:00,00:00:00,9:00:00,0:00:00,9:00:00,2:00:00,9:00:00,0:00:00,0,0,25,25,50,,,,,,,,,,,,10,80,separar las mesas
3871,270086578,5,CHAMARTIN,EL VISO,CALLE,84,28002,"442459,59","4478083,51",Abierto,CERVECERIA FASS,2,Estacional,1,Abierta,"92,43",CALLE,RODRIGUEZ MARIN,84,,Acera,10:00:00,00:00:00,,,10:00:00,2:00:00,,,2,,21,,79,,,,,,,,,,true,,10,80,separar las mesas
3872,270299533,7,CHAMBERI,TRAFALGAR,CALLE,10,28015,"440278,6","4476229,53",Abierto,SI QUIERO,1,Anual,1,Abierta,"19,5",CALLE,BRAVO MURILLO,10,,Acera,8:00:00,00:00:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,0,0,9,9,28,,,,,,,,,,false,3,10,80,separar las mesas
3873,285011802,7,CHAMBERI,TRAFALGAR,CALLE,13,28010,"440533,59","4475713,53",Abierto,TABERNA - BAR MAMA MIA,1,Anual,1,Abierta,"14,93",CALLE,LUCHANA,13,,Acera,8:00:00,00:00:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,0,0,5,5,18,,,,,,,,,,false,2,10,80,separar las mesas
3874,70001015,7,CHAMBERI,TRAFALGAR,CALLE,7,28010,"440581,6","4475843,53",Abierto,NAGOYA,2,Estacional,1,Abierta,"16,94",CALLE,TRAFALGAR,7,,Acera,8:00:00,00:00:00,,,8:00:00,1:30:00,,,0,,10,,26,,,,,,,,,,false,3,10,80,separar las mesas
3876,280060500,18,VILLA DE VALLECAS,SANTA EUGENIA,CALLE,33,28031,"448215,53","4470158,42",Abierto,CERVECERIA MEDINA,2,Estacional,1,Abierta,50,CALLE,PUENTELARRA,33,,Otros,8:00:00,00:00:00,,,8:00:00,1:30:00,,,0,,10,,40,,,,,,,,,,,,10,80,separar las mesas
3877,280048446,8,FUENCARRAL-EL PARDO,VALVERDE,CALLE,19,28050,"442468,63","4484723,54",Abierto,CAFETER?A BAR,1,Anual,1,Abierta,"24,83",CALLE,MARIA TUBAU,19,A,Acera,10:00:00,00:00:00,10:00:00,0:00:00,10:00:00,2:00:00,10:00:00,0:00:00,0,0,9,9,36,A,,,,,,,,,false,3,10,80,separar las mesas
3878,270154144,11,CARABANCHEL,ABRANTES,AVENIDA,25,28019,"438604,59","4470768,53",Abierto,LA TABERNA DE ALEX,1,Anual,1,Abierta,27,AVENIDA,OPORTO,25,,Acera,10:00:00,00:00:00,10:00:00,0:00:00,10:00:00,0:30:00,10:00:00,0:00:00,0,0,10,10,40,,,,,,,,,,false,3,10,80,separar las mesas
3879,280043271,10,LATINA,LAS AGUILAS,CALLE,64,28044,"434177,62","4469779,57",Abierto,MESON LA DEHESA,2,Estacional,1,Abierta,"453,6",CALLE,VALLE INCLAN,64,,Otros,10:00:00,00:00:00,,,10:00:00,2:00:00,,,0,,14,,56,,,,,,,,,,,,10,80,separar las mesas
3880,280044470,9,MONCLOA-ARAVACA,ARGUELLES,CALLE,37,28008,"438858,61","4475827,55",Abierto,CASA VENINI,1,Anual,1,Abierta,"9,37",CALLE,BENITO GUTIERREZ,37,,Acera,10:00:00,00:00:00,10:00:00,0:00:00,10:00:00,2:00:00,10:00:00,0:00:00,0,0,7,7,14,,,,,,,,,,false,2,10,80,separar las mesas
